id_retalt;nom_ouv;volume_m3;confinement;annee_construction;classement;departement;surface_m2;surface_sig_m2;altitude_sig_m;type_ouvrage;ce500;ce2000;pe500;pe2000
117;Libouse;45151;total;2014;NA;5;10848;11607;1453.88888888889;retenue_altitude;0;4048.43289531188;0;0
118;Sellaret;24000;aucun;1989;NA;5;5030;4885;1832.22222222222;retenue_altitude;1540.90825912287;12416.7688874434;0;0
119;Chabrieres;125000;partiel;2010;NA;5;17383;15088;2209.47826086957;retenue_altitude;0;10618.1097598055;0;0
120;Peyrol;60000;total;2001;NA;5;NA;11646;2137.25;lac_creuse;1401.28437834605;16428.9178974431;0;0
121;Bez;7700;aucun;2001;non classe;5;2980;2537;1685;retenue_altitude;918.468678735136;13577.3598993333;0;6306.29499997908
125;Pra Premier;6000;total;1999;NA;5;1980;2119;2066.75;retenue_altitude;1852.38753982562;9899.8910664881;0;0
172;Pre Rouge;31080;total;2017;NA;5;6600;6502;2005;retenue_altitude;0;8087.43873822145;2923.20499995064;2923.20499995064
89;Marmottes 1;35000;aucun;NA;NA;38;NA;9834;2340.35714285714;retenue_altitude;1057.02200713723;9221.250579352;0;209040.720000237
90;Marmottes 2;55000;aucun;NA;NA;38;NA;8594;2343.16666666667;retenue_altitude;926.373674610184;8706.21260287761;30.1864063292387;215100.399140241
91;Piegut;37500;aucun;NA;NA;38;NA;7414;1711.3;retenue_altitude;0;5763.60019695748;0;0
92;Lac des Vallons;45000;aucun;1993;NA;38;NA;6802;1814.5;retenue_altitude;624.564468183655;4686.58528738036;0;25248.5500000255
93;Montfrais;13000;aucun;NA;NA;38;NA;2946;1716.25;retenue_altitude;0;12347.0381559211;0;0
94;La Morte;20000;aucun;NA;NA;38;NA;4913;1360.44444444444;retenue_altitude;1275.44196301218;9945.54450140007;0;861.500000003196
96;Grand Plan du Sautet;200000;naurel;NA;NA;38;NA;41088;2299.89855072464;lac_rehausse;1676.79894076154;10796.7432258241;14069.7850000039;14069.7850000039
98;Gonson;15900;partiel;NA;NA;38;NA;3613;1281.4;retenue_altitude;0;2218.16966257495;0;0
99;Moucherolle;100000;total;2003;NA;38;NA;14658;1939.58333333333;retenue_altitude;0;3343.88574198759;0;0
100;Geve;15000;partiel;2006;NA;38;NA;3740;1299.85714285714;retenue_altitude;0;0;0;0
101;La Jasse;15000;aucun;NA;NA;38;NA;2206;1532.5;retenue_altitude;1116.32230870095;5464.15603267614;0;10616.3400000279
